id,glon,glat
296,130.52,-67.54
297,124.47,-1.25
298,124.88,-10.32
299,297.02,-70.6
300,256.19,-86.46
301,129.39,-61.35
302,125.08,-11.81
303,126.31,-33.13
304,301.05,-51.63
305,125.67,-22.81
306,123.27,24.29
307,129.09,-57.05
308,127.84,-47.8
309,124.64,-0.06
310,127.34,-41.28
311,127.35,-41.28
312,123.74,17.17
313,129.66,-57.77
314,129.68,-57.77
315,134.63,-72.53
316,125.06,-5.87
317,134.92,-72.37
318,125.3,-9.3
319,128.64,-49.75
320,170.31,-85.44
321,125.32,-7.85
322,295.51,-70.2
323,283.32,-80.89
324,126.08,-18.83
325,172.43,-85.26
326,125.19,-4.53
327,127.02,-30.73
328,128.13,-41.96
329,136.22,-72.24
330,130.68,-56.96
331,290.82,-75.25
332,299.64,-55.25
333,123.91,16.84
334,137.15,-72.58
335,126.11,-15.52
336,124.68,5.97
337,127.1,-27.1
338,297.83,-61.71
339,128.85,-43.
340,126.67,-20.65
341,128.29,-37.22
342,125.1,1.42
343,125.76,-7.61
344,129.55,-46.96
345,125.07,2.23
346,137.48,-71.25
347,132.54,-60.07
348,127.24,-24.98
349,127.84,-31.26
350,298.05,-59.26
351,129.18,-41.59
352,128.12,-32.58
353,134.84,-64.65
354,125.5,-1.06
355,126.82,-17.37
356,128.47,-32.58
357,124.08,17.09
358,252.89,-84.13
359,281.6,-78.37
360,129.37,-38.01
361,132.56,-54.88
362,132.57,-54.87
363,128.94,-34.08
364,130.84,-46.39
365,124.89,8.97
366,139.8,-70.04
367,133.14,-55.41
368,136.01,-63.25
369,127.24,-14.58
370,290.1,-71.
371,128.91,-29.47
372,127.7,-17.73
373,137.75,-64.64
374,129.36,-30.8
375,124.54,14.79
376,127.61,-15.21
377,299.66,-48.1
378,135.63,-58.61
379,128.93,-25.17
380,298.9,-50.53
381,124.79,13.48
382,126.71,-4.43
383,130.56,-35.19
384,126.1,1.97
385,138.45,-62.52
386,124.57,15.96
387,140.45,-65.12
388,147.57,-72.71
389,130.75,-33.68
390,128.58,-17.
391,127.14,-4.47
392,138.75,-60.18
393,139.87,-62.29
394,166.13,-79.24
395,129.94,-24.72
396,130.47,-28.16
397,132.99,-41.78
398,125.75,8.3
399,126.15,5.47
400,243.4,-82.02
401,146.42,-69.38
402,146.59,-69.54
403,127.19,-2.35
404,145.55,-68.33
405,158.54,-76.18
406,142.56,-64.44
407,132.98,-38.69
408,279.66,-74.1
409,129.61,-18.96
410,131.,-27.75
411,284.11,-71.36
412,157.07,-75.16
413,134.19,-42.94
414,134.31,-42.85
415,131.25,-27.92
416,141.83,-61.98
417,129.56,-17.
418,130.2,-21.26
419,139.88,-58.16
420,296.98,-52.37
421,155.16,-73.67
422,130.39,-22.01
423,250.18,-80.59
424,123.28,26.46
425,152.44,-71.66
426,138.54,-53.79
427,126.3,7.65
428,126.92,3.53
429,280.52,-72.17
430,129.75,-15.35
431,254.77,-79.59
432,135.56,-43.57
433,182.65,-79.72
434,140.07,-55.43
435,284.52,-68.99
436,209.1,-81.25
437,137.01,-46.43
438,132.33,-27.33
439,128.44,-4.09
440,286.27,-66.75
441,234.96,-80.63
442,128.35,-3.19
443,282.11,-69.89
444,153.38,-69.39
445,263.48,-76.89
446,132.32,-24.85
447,286.4,-66.06
448,151.37,-67.53
449,126.09,11.71
450,137.11,-43.21
451,166.32,-74.78
452,131.88,-21.02
453,242.3,-79.43
454,130.54,-13.48
455,138.71,-46.85
456,126.4,10.49
457,137.79,-44.15
458,132.,-20.66
459,166.61,-74.36
460,292.01,-58.05
461,129.11,-4.33
462,231.37,-79.8
463,140.16,-49.2
464,130.81,-13.53
465,131.53,-16.68
466,156.7,-69.19
467,300.26,-38.41
468,291.74,-57.86
469,131.89,-17.65
470,130.16,-8.32
471,259.18,-76.31
472,290.84,-58.79
473,187.04,-77.72
474,204.39,-79.16
475,139.37,-44.92
476,132.35,-18.67
477,132.92,-21.34
478,127.68,5.64
479,287.7,-62.27
480,127.21,8.18
481,129.02,-1.23
482,129.52,-3.59
483,132.7,-19.3
484,136.8,-35.78
485,135.69,-31.58
486,289.6,-59.66
487,289.6,-59.66
488,129.06,-0.84
489,145.12,-55.22
490,134.46,-26.49
491,129.27,-1.68
492,162.14,-70.26
493,138.88,-41.01
494,262.44,-74.8
495,132.4,-16.59
496,131.32,-11.33
497,241.27,-77.84
498,258.27,-75.56
499,130.,-4.61
500,152.75,-63.55
501,283.51,-65.15
502,130.16,-5.03
503,135.65,-29.38
504,132.43,-15.75
505,292.17,-55.27
506,286.9,-61.77
507,154.47,-64.37
508,139.67,-41.04
509,173.19,-73.43
510,144.61,-51.43
511,129.08,1.66
512,301.23,-34.
513,156.61,-64.97
514,206.28,-77.66
515,141.2,-43.49
516,299.99,-37.69
517,217.1,-77.87
518,133.,-15.54
519,282.92,-64.14
520,285.68,-61.74
521,135.2,-23.55
522,141.89,-43.82
523,136.65,-28.66
524,268.52,-71.43
525,301.7,-32.25
526,132.86,-13.86
527,149.17,-56.25
528,256.59,-74.45
529,132.18,-9.87
530,140.39,-38.6
531,165.48,-68.61
532,233.7,-76.77
533,131.57,-6.7
534,145.58,-49.2
535,259.3,-73.37
536,132.64,-10.93
537,277.77,-66.33
538,132.58,-10.24
539,165.88,-68.05
540,131.72,-6.21
541,280.7,-64.28
542,129.84,1.65
543,135.4,-20.64
544,138.64,-31.4
545,142.55,-41.2
546,142.55,-41.2
547,180.42,-72.52
548,128.77,6.55
549,151.64,-56.18
550,299.96,-36.63
551,135.72,-20.59
552,136.75,-24.03
553,142.24,-39.68
554,258.35,-72.71
555,274.35,-67.22
556,136.91,-23.84
557,136.96,-23.85
558,267.17,-69.99
559,141.48,-36.96
560,153.67,-57.13
561,130.8,-0.14
562,136.03,-19.48
563,144.34,-42.3
564,140.4,-32.81
565,199.22,-74.52
566,280.88,-62.67
567,130.16,2.71
568,134.06,-12.21
569,142.04,-36.8
570,293.93,-48.35
571,289.48,-54.55
572,126.76,15.58
573,280.76,-62.45
574,274.84,-66.
575,128.69,8.83
576,239.29,-74.36
577,143.55,-39.07
578,147.82,-47.26
579,127.95,11.68
580,128.38,10.31
581,127.06,15.
582,154.33,-55.53
583,194.6,-73.19
584,292.2,-50.3
585,195.47,-73.25
586,130.42,3.07
587,167.4,-65.25
588,264.25,-69.6
589,130.57,2.59
590,133.19,-6.97
591,289.45,-53.76
592,127.44,13.9
593,298.84,-38.26
594,227.66,-74.42
595,155.35,-55.6
596,155.35,-55.6
597,125.99,18.89
598,130.54,3.32
599,139.71,-27.25
600,292.34,-49.64
601,148.19,-45.88
602,268.87,-67.48
603,136.96,-18.56
604,136.97,-18.56
605,142.61,-34.16
606,226.33,-74.19
607,158.18,-57.75
608,181.14,-69.6
609,146.03,-41.35
610,158.88,-58.07
611,162.91,-61.23
612,224.89,-73.78
613,144.78,-37.02
614,152.67,-50.26
615,143.52,-34.14
616,159.58,-57.4
617,144.57,-36.2
618,132.92,-2.94
619,137.14,-16.27
620,139.31,-22.55
621,134.48,-7.25
622,140.55,-25.2
623,144.08,-33.71
624,148.23,-41.79
625,189.29,-69.87
626,128.58,12.06
627,133.51,-3.57
628,139.38,-21.28
629,139.38,-21.28
630,208.31,-72.2
631,147.4,-39.58
632,264.22,-67.31
633,144.53,-33.57
634,142.27,-28.32
635,154.2,-49.39
636,264.54,-66.99
637,275.99,-61.97
638,174.54,-64.57
639,163.52,-58.23
640,131.08,4.98
641,133.5,-2.61
642,142.98,-29.4
643,138.04,-16.23
644,145.69,-35.09
645,135.85,-9.73
646,147.14,-37.81
647,137.1,-13.1
648,150.4,-43.2
649,154.55,-48.95
650,164.6,-58.52
651,199.11,-70.43
652,229.19,-71.84
653,137.3,-12.69
654,134.38,-3.91
655,142.55,-26.27
656,145.74,-33.33
657,146.07,-34.01
658,175.21,-63.45
659,257.7,-67.91
660,142.43,-25.39
661,134.25,-3.06
662,134.39,-3.42
663,138.78,-15.9
664,142.65,-25.71
665,147.05,-35.06
666,171.27,-60.99
667,291.57,-47.42
668,132.36,3.1
669,149.27,-38.5
670,137.99,-12.91
671,138.29,-13.77
672,162.2,-54.38
673,137.46,-11.42
674,275.35,-60.82
675,145.22,-30.41
676,147.8,-35.44
677,140.79,-19.96
678,291.35,-47.45
679,138.24,-12.89
680,144.79,-28.89
681,167.75,-57.98
682,137.29,-10.21
683,214.47,-70.41
684,169.55,-58.98
685,135.51,-4.79
686,257.92,-66.77
687,140.8,-18.28
688,280.1,-57.09
689,164.95,-54.92
690,135.87,-5.17
691,166.4,-55.9
692,179.78,-63.15
693,193.3,-67.06
694,137.86,-10.15
695,208.85,-69.21
696,135.62,-3.93
697,195.13,-67.2
698,260.03,-65.6
699,137.95,-9.83
700,247.15,-68.09
701,273.28,-60.44
702,157.03,-45.99
703,214.69,-69.2
704,169.53,-56.93
705,291.25,-46.37
706,254.5,-66.45
707,132.12,6.29
708,183.75,-63.35
709,138.18,-9.42
710,189.53,-65.08
711,147.91,-31.18
712,145.72,-26.79
713,200.01,-67.12
714,283.79,-53.2
715,294.47,-41.95
716,136.55,-4.72
717,146.86,-28.67
718,159.69,-47.39
719,165.42,-52.76
720,146.89,-28.37
721,267.12,-62.24
722,289.17,-48.04
723,150.24,-34.16
724,236.68,-68.2
725,159.26,-46.27
726,145.4,-24.69
727,229.36,-68.46
728,149.62,-32.45
729,152.63,-37.23
730,207.1,-67.27
731,154.01,-39.09
732,168.08,-53.68
733,213.52,-67.78
734,287.,-49.73
735,206.86,-67.09
736,144.74,-22.43
737,166.25,-51.98
738,145.62,-23.82
739,169.94,-54.44
740,191.12,-63.78
741,156.28,-41.18
742,242.77,-66.74
743,130.71,11.58
744,238.27,-67.
745,201.48,-65.57
746,143.84,-18.95
747,133.55,5.09
748,144.92,-21.07
749,221.7,-67.34
750,146.14,-23.44
751,162.6,-47.26
752,179.49,-58.87
753,163.39,-47.62
754,164.48,-48.67
755,270.92,-59.19
756,144.53,-19.67
757,147.8,-26.13
758,146.59,-23.71
759,179.86,-58.61
760,144.09,-18.59
761,147.26,-24.94
762,284.65,-50.76
763,159.13,-42.91
764,151.47,-32.31
765,151.49,-32.31
766,162.83,-46.83
767,226.39,-66.88
768,145.24,-20.47
769,145.1,-20.13
770,163.28,-46.66
771,174.49,-55.25
772,237.68,-66.24
773,153.46,-34.47
774,127.33,19.59
775,167.32,-49.96
776,297.19,-36.88
777,226.75,-66.41
778,272.31,-57.82
779,170.76,-52.21
780,245.54,-65.1
781,187.19,-60.41
782,151.02,-29.79
783,165.32,-47.6
784,183.54,-58.84
785,138.51,-4.35
786,227.82,-66.03
787,139.16,-5.79
788,144.84,-17.91
789,255.67,-62.98
790,172.42,-52.68
791,133.34,7.27
792,141.4,-10.56
793,155.53,-35.74
794,249.3,-64.07
795,175.53,-54.4
796,192.38,-61.45
797,162.07,-43.53
798,285.44,-49.01
799,141.16,-9.61
800,143.31,-14.07
801,151.29,-28.93
802,274.43,-56.11
803,152.53,-30.69
804,168.92,-49.38
805,245.9,-64.29
806,288.96,-45.82
807,261.96,-60.83
808,157.47,-37.42
809,159.22,-39.46
810,268.82,-58.33
811,191.81,-60.57
812,161.43,-41.79
813,163.25,-43.7
814,250.3,-63.35
815,132.89,9.07
816,168.09,-47.92
817,232.25,-65.
818,200.83,-62.53
819,147.73,-21.26
820,147.96,-21.64
821,271.1,-57.02
822,260.97,-60.49
823,287.19,-46.84
824,151.42,-27.1
825,138.47,-2.18
826,207.44,-63.24
827,209.3,-63.39
828,158.18,-36.45
829,133.47,8.52
830,153.91,-30.53
831,147.54,-19.84
832,190.42,-59.04
833,284.11,-49.05
834,139.14,-3.18
835,238.99,-63.93
836,158.93,-37.04
837,287.76,-46.
838,152.98,-28.61
839,138.2,-0.94
840,147.25,-18.86
841,231.79,-64.02
842,143.38,-11.2
843,149.07,-21.64
844,214.12,-63.29
845,221.64,-63.79
846,140.73,-5.63
847,161.17,-38.72
848,239.41,-63.34
849,142.83,-9.54
850,206.8,-62.09
851,239.01,-63.28
852,282.75,-49.46
853,248.01,-62.21
854,141.02,-5.74
855,147.81,-18.55
856,160.59,-37.33
857,192.06,-58.26
858,228.14,-63.47
859,187.02,-56.35
860,137.21,2.15
861,135.96,4.67
862,209.96,-61.94
863,244.62,-62.12
864,142.08,-6.89
865,143.97,-10.53
866,282.43,-49.13
867,159.93,-35.45
868,265.46,-57.38
869,160.29,-35.62
870,167.75,-43.37
871,266.92,-56.8
872,293.35,-39.77
873,151.88,-23.77
874,187.15,-55.31
875,180.36,-52.04
876,148.45,-17.9
877,171.55,-46.17
878,158.88,-33.22
879,148.04,-16.92
880,283.75,-47.86
881,129.08,18.19
882,150.45,-20.78
883,213.46,-61.47
884,226.08,-62.31
885,144.44,-10.22
886,147.5,-15.64
887,158.69,-32.51
888,158.69,-32.51
889,213.02,-61.25
890,142.11,-5.63
891,142.11,-5.63
892,179.79,-51.03
893,243.71,-61.42
894,149.09,-18.11
895,189.01,-55.34
896,168.21,-42.41
897,247.86,-60.74
