hostname,pl_orbsmax,pl_bmassj,pl_radj
"CoRoT-19",0.051660,1.15500,1.290
"CoRoT-4",0.090000,0.72000,1.190
"GQ Lup",100.000000,20.00000,3.000
"HAT-P-13",0.043100,0.90600,1.487
"HAT-P-14",0.059600,2.28000,1.200
"HAT-P-17",0.088200,0.53400,1.010
"HAT-P-23",0.023020,2.07000,1.224
"HATS-13",0.040590,0.59200,1.212
"K2-110",0.102100,0.05254,0.231
"HD 189733",0.031300,1.15000,1.260
"Kepler-74",0.078100,0.63000,0.960
"WASP-29",0.045700,0.24400,0.792
"WASP-29",0.045660,0.24500,0.792
"WASP-31",0.046630,0.48900,1.549
"WASP-33",0.025900,3.28000,1.679
"WASP-35",0.043130,0.70100,1.320
"WASP-43",0.015280,2.05000,1.036
"WASP-130",0.101200,1.23000,0.890
"WASP-132",0.067000,0.41000,0.870
"HATS-32",0.040240,0.92000,1.249
"XO-2 N",0.036160,0.59300,0.984
"K2-138",0.044610,0.01985,0.205
"K2-138",0.058930,0.02492,0.213
"Kepler-30",0.180000,0.20000,0.321
"WASP-14",0.035800,7.22000,1.281
"WASP-1",0.039580,0.94800,1.514
"WASP-22",0.046800,0.56000,1.120
"WASP-22",0.048900,0.61700,1.199
"WASP-44",0.034730,0.88900,1.140
"WASP-46",0.023340,1.90000,1.174
"WASP-50",0.029300,1.46880,1.166
"WASP-5",0.027290,1.63700,1.171
"WASP-6",0.042100,0.50300,1.224
"WASP-19",0.016340,1.06900,1.392
"HATS-23",0.033970,1.47000,1.860
"HIP 65426",92.000000,9.00000,1.500
"K2-111",0.062100,0.02706,0.170
"Kepler-62",0.718000,0.11000,0.126
"K2-140",0.059100,1.01900,1.095
"HAT-P-41",0.042600,0.80000,1.685
"WASP-55",0.053300,0.57000,1.300
"WASP-61",0.051400,2.06000,1.240
"Kepler-4",0.044900,0.07500,0.368
"HD 86226",0.049000,0.02281,0.193
"LP 714-47",0.041700,0.09691,0.419
"TOI-561",0.088090,0.01699,0.257
"Kepler-427",0.091300,0.29200,1.230
"Kepler-41",0.023960,0.56000,1.040
"K2-18",0.159100,0.02715,0.233
"HATS-14",0.038150,1.06900,1.039
"K2-138",0.231090,0.01359,0.269
"HAT-P-51",0.050670,0.31100,1.293
"Kepler-51",0.384000,0.01300,0.803
"Qatar-2",0.021530,2.49400,1.254
"TrES-4",0.050840,0.91700,1.706
"WASP-10",0.037810,3.15000,1.080
"TOI-1333",0.062600,2.37000,1.396
"Kepler-11",0.155000,0.02300,0.278
"Kepler-1647",2.720500,1.51968,1.059
"HATS-30",0.043540,0.70600,1.175
"Kepler-10",0.017200,0.01450,0.132
"Kepler-10",0.016850,0.01170,0.131
"OGLE-TR-111",0.046760,0.55000,1.011
"OGLE-TR-111",0.046890,0.78000,1.051
"OGLE-TR-132",0.030290,1.17000,1.250
"OGLE-TR-211",0.051000,1.03000,1.360
"OGLE-TR-56",0.024530,1.41000,1.734
"HD 3167",0.018150,0.01579,0.152
"WASP-63",0.054170,0.33900,1.330
"WASP-67",0.051790,0.42000,1.400
"WASP-162",0.087100,5.20000,1.000
"HD 39091",0.067020,0.01422,0.184
"CoRoT-21",0.041600,2.22000,1.300
"KELT-6",0.080400,0.44200,1.180
"Kepler-423",0.039600,0.72000,1.200
"WTS-2",0.018550,1.12000,1.363
"L 98-59",0.022820,0.00318,0.071
"HATS-58 A",0.057980,1.03000,1.095
"WASP-84",0.077100,0.69400,0.942
"Kepler-432",0.301000,5.41000,1.145
"CoRoT-16",0.061800,0.52900,1.170
"HD 332231",0.143600,0.24400,0.867
"Kepler-117",0.280400,1.84000,1.101
"NGTS-3 A",0.023000,2.38000,1.480
"K2-237",0.037000,1.60000,1.650
"WASP-64",0.026480,1.27100,1.271
"WASP-80",0.034270,0.54000,0.952
"GJ 143",0.069500,0.01164,0.080
"Qatar-9",0.023400,1.19000,1.009
"WASP-96",0.045300,0.48000,1.200
"WASP-96",0.045400,0.49000,1.200
"WASP-99",0.071700,2.78000,1.100
"WASP-101",0.050570,0.49700,1.410
"HATS-5",0.054200,0.23700,0.912
"HATS-5",0.054280,0.23800,0.912
"CoRoT-28",0.059000,0.48100,0.955
"NGTS-4",0.019000,0.06481,0.284
"Kepler-14",0.077100,7.68000,1.126
"HATS-4",0.036200,1.32300,1.020
"WASP-184",0.062700,0.57000,1.330
"Qatar-6",0.042300,0.66800,1.062
"CoRoT-29",0.038600,0.85000,0.900
"WASP-89",0.042700,5.90000,1.040
"Kepler-21",0.042717,0.01598,0.146
"Kepler-432",0.303400,4.87000,1.120
"WASP-103",0.019790,1.47000,1.646
"Kepler-91",0.072000,0.88000,1.384
"CoRoT-20",0.089200,5.06000,1.160
"CoRoT-23",0.048400,3.09000,1.050
"WASP-42",0.054800,0.50000,1.080
"HAT-P-16",0.041340,4.22100,1.289
"HAT-P-22",0.041420,2.17200,1.080
"HAT-P-27",0.040300,0.66000,1.038
"HATS-9",0.030480,0.82300,1.065
"HAT-P-14",0.061080,2.27100,1.219
"CoRoT-29",0.039000,0.84000,0.900
"HAT-P-31",0.055000,2.17100,1.070
"HAT-P-4",0.044650,0.68000,1.337
"EPIC 220674823",0.013120,0.02832,0.162
"CoRoT-7",0.017016,0.01800,0.141
"CoRoT-17",0.048100,2.46000,1.007
"Kepler-413",0.355300,0.21100,0.388
"HAT-P-49",0.043780,1.77000,1.413
"CoRoT-24",0.098000,0.08800,0.440
"HD 149026",0.043130,0.35900,0.654
"HD 209458",0.049000,0.74000,1.410
"HD 17156",0.162780,3.23500,1.087
"KOI-94",0.168400,0.33400,1.005
"K2-34",0.046500,1.69800,1.377
"WASP-120",0.051400,4.85000,1.473
"WASP-94 A",0.055400,0.45600,1.720
"K2-3",0.077700,0.02077,0.204
"TOI-677",0.103800,1.23600,1.170
"WASP-17",0.051510,0.51200,1.991
"WASP-4",0.023070,1.23700,1.357
"TrES-2",0.035030,1.44000,1.162
"Kepler-21",0.042507,0.03300,0.146
"Kepler-34",1.089600,0.22000,0.764
"WASP-136",0.066100,1.51000,1.380
"K2-29",0.040970,0.61300,1.000
"K2-229",0.012888,0.00815,0.104
"XO-2 N",0.036650,0.59500,1.019
"XO-3",0.045400,11.79000,1.217
"XO-5",0.050800,1.15000,1.150
"Ross 458",1100.000000,6.00000,1.250
"GJ 3470",0.034800,0.04400,0.370
"CoRoT-7",0.016900,0.02200,0.166
"KELT-8",0.045710,0.86700,1.860
"WASP-71",0.046220,2.22200,1.460
"WASP-37",0.044600,1.80000,1.160
"WASP-38",0.076000,2.70000,1.100
"WASP-39",0.048600,0.28000,1.270
"WASP-41",0.040200,0.92000,1.200
"HAT-P-42",0.057500,1.04400,1.280
"WISEP J121756.91+162640.2 A",8.000000,22.00000,0.934
"55 Cnc",0.015830,0.02600,0.194
"CoRoT-13",0.051000,1.30800,0.885
"CoRoT-1",0.025360,1.03000,1.551
"OGLE-TR-113",0.022890,1.26000,1.093
"OGLE-TR-132",0.030600,1.01000,1.150
"OGLE-TR-56",0.023860,1.30000,1.200
"TrES-1",0.039300,0.75000,1.080
"TOI-163",0.058000,1.22000,1.489
"NGTS-9",0.058000,2.90000,1.070
"XO-7",0.044210,0.70900,1.373
"TOI-157",0.031380,1.18000,1.286
"GJ 486",0.017340,0.00887,0.116
"WASP-36",0.026430,2.28600,1.281
"TOI-519",0.012000,14.00000,1.070
"Kepler-29",0.110000,0.30000,0.259
"WASP-54",0.049880,0.60600,1.653
"TOI-125",0.051860,0.02989,0.243
"HD 15337",0.123500,0.02766,0.225
"K2-99",0.159000,0.97000,1.290
"TOI-150",0.058300,1.75000,1.380
"CoRoT-26",0.052500,0.58000,1.260
"TOI-1130",0.070980,0.97400,1.500
"OGLE2-TR-L9",0.040470,4.40000,1.633
"WASP-18",0.020260,10.43000,1.165
"WASP-1",0.039200,0.98000,1.493
"WASP-24",0.036510,1.07100,1.300
"WASP-24",0.036070,1.06000,1.300
"WASP-25",0.048190,0.59800,1.247
"WASP-18",0.020430,10.38000,1.163
"WASP-12",0.023500,2.01000,1.860
"WASP-185",0.090400,0.98000,1.250
"WASP-153",0.048000,0.39000,1.550
"Kepler-47",0.991000,28.00000,0.411
"HD 189733",0.031000,1.12300,1.138
"WASP-4",0.022870,1.17000,1.330
"WASP-105",0.075000,1.80000,0.960
"HAT-P-24",0.046500,0.68500,1.316
"Kepler-432",0.302500,0.57500,1.145
"HATS-8",0.046670,0.13800,0.873
"HATS-71",0.037450,0.37000,1.024
"TOI-481",0.097000,1.53000,0.990
"TOI-561",0.156900,0.03760,0.226
"HAT-P-56",0.042300,2.18000,1.466
"Kepler-9",0.225000,0.17100,0.823
"WASP-61",0.051460,2.05000,1.240
"HATS-59",0.061120,0.80600,1.126
"WASP-157",0.052900,0.57400,1.065
"Kepler-1654",2.026000,0.50000,0.819
"HATS-7",0.040120,0.12000,0.563
"CoRoT-9",0.402100,0.84000,1.066
"WASP-91",0.037000,1.34000,1.030
"WASP-107",0.055000,0.12000,0.940
"CoRoTID 223977153",0.071000,0.15000,0.570
"Qatar-10",0.028600,0.73600,1.543
"K2-285",0.038170,0.03046,0.231
"K2-287",0.120600,0.31500,0.847
"WASP-181",0.054270,0.29900,1.184
"HATS-26",0.047350,0.65000,1.750
"HAT-P-22",0.041400,2.14700,1.080
"WASP-4",0.022600,1.18600,1.321
"HAT-P-65",0.039510,0.52700,1.890
"WASP-175",0.044030,0.99000,1.208
"Kepler-36",0.115300,0.01400,0.133
"XO-5",0.049400,1.08400,1.089
"HAT-P-20",0.036170,7.27000,0.867
"HAT-P-36",0.024100,1.84820,1.277
"WASP-28",0.044650,0.90600,1.213
"WASP-49",0.037900,0.39900,1.115
"Kepler-80",0.049100,0.01299,0.143
"WASP-15",0.051650,0.59200,1.408
"GJ 143",0.191500,0.07142,0.233
"Kepler-428",0.043300,1.27000,1.080
"CoRoT-6",0.085500,2.96000,1.166
"GJ 3470",0.031000,0.04300,0.346
"HAT-P-1",0.055610,0.52900,1.319
"Kepler-435",0.094800,0.84000,1.990
"WASP-58",0.056100,0.89000,1.370
"NGTS-6",0.016770,1.33900,1.326
"WASP-2",0.031380,0.91400,1.117
"K2-290",0.092300,0.03430,0.273
"CoRoT-6",0.085500,2.96000,1.185
"HAT-P-18",0.055900,0.19700,0.995
"Kepler-68",0.061700,0.02600,0.206
"TrES-4",0.049650,0.87700,1.810
"CoRoT-8",0.063000,0.22000,0.570
"GJ 436",0.030800,0.08000,0.366
"K2-19",0.076200,0.13844,0.666
"Kepler-18",0.044700,0.02200,0.178
"CoRoT-23",0.048000,2.80000,1.050
"Kepler-24",0.080000,1.60000,0.214
"Kepler-27",0.118000,9.11000,0.357
"WASP-48",0.033200,0.90700,1.396
"Kepler-10",0.016850,0.01000,0.131
"WASP-75",0.037510,1.07300,1.270
"K2-138",0.033850,0.00975,0.135
"WASP-169",0.068100,0.56100,1.304
"HAT-P-2",0.068800,8.70000,1.157
"Kepler-12",0.055300,0.43200,1.754
"WASP-100",0.045700,2.03000,1.690
"WASP-5",0.027140,1.56500,1.164
"L 98-59",0.050600,0.00727,0.140
"HAT-P-28",0.043400,0.62600,1.212
"XO-4",0.054740,1.54700,1.287
"HN Peg",773.000000,21.99870,1.051
"TrES-3",0.022820,1.91000,1.336
"WASP-79",0.053500,0.90000,2.090
"Kepler-30",0.300000,9.10000,1.276
"HAT-P-39",0.050900,0.59900,1.571
"TrES-5",0.024460,1.77800,1.209
"CoRoT-11",0.043600,2.33000,1.430
"TrES-4",0.050200,0.89700,1.735
"WASP-13",0.055700,0.51200,1.528
"Kepler-43",0.044000,3.09000,1.115
"HAT-P-9",0.053000,0.78000,1.400
"HD 39091",0.068390,0.01517,0.182
"WASP-7",0.061900,0.96000,1.363
"GJ 9827",0.018800,0.01545,0.141
"WASP-84",0.077100,0.69400,0.942
"WASP-131",0.060700,0.27000,1.220
"Kepler-18",0.117200,0.05200,0.623
"55 Cnc",0.015440,0.02542,0.171
"CoRoT-11",0.044070,2.62000,1.430
"HAT-P-38",0.052300,0.26700,0.825
"WASP-38",0.075840,2.64800,1.090
"Kepler-26",0.107000,0.37500,0.321
"Kepler-107",0.045440,0.01104,0.137
"Kepler-25",0.068000,12.70000,0.232
"HATS-50",0.050460,0.39000,1.130
"WASP-56",0.054580,0.57100,1.092
"XO-5",0.048740,1.04600,1.109
"HATS-35",0.031990,1.22200,1.464
"HATS-10",0.044910,0.52600,0.969
"L 168-9",0.020910,0.01447,0.124
"WASP-139",0.062000,0.11700,0.800
"Kepler-77",0.047000,0.71000,0.960
"Kepler-117",0.144500,0.09400,0.719
"Kepler-45",0.030000,0.50500,0.960
"TOI-150",0.070370,2.51000,1.255
"HAT-P-33",0.049900,0.76200,1.686
"TOI-178",0.103900,0.02429,0.204
"HD 110113",0.035000,0.01432,0.183
"CoRoT-11",0.044000,2.34000,1.426
"HATS-56",0.060430,0.60200,1.688
"WASP-66",0.054610,2.37000,1.390
"KELT-3",0.041230,1.47800,1.345
"HATS-8",0.046680,0.14500,0.873
"HAT-P-52",0.036960,0.81700,1.009
"WASP-165",0.048230,0.65800,1.260
"WASP-36",0.026430,2.29600,1.281
"Kepler-539",0.498800,0.97000,0.747
"WASP-47",0.052000,1.14000,1.150
"CoRoT-28",0.060300,0.48400,0.955
"XO-5",0.048800,1.05900,1.109
"Kepler-79",0.386000,0.01300,0.311
"WASP-77 A",0.024050,1.76300,1.210
"K2-39",0.057400,0.12522,0.509
"HATS-24",0.025470,2.44000,1.487
"Kepler-93",0.053000,0.01265,0.132
"HATS-69",0.032110,0.57700,0.945
"WASP-104",0.029200,1.26800,1.137
"GJ 9827",0.055910,0.01271,0.180
"OGLE-TR-10",0.045160,0.68000,1.720
"Qatar-8",0.047400,0.37100,1.285
"bet Pic",8.900000,20.00000,1.500
"WASP-18",0.020470,10.43000,1.165
"HATS-39",0.060070,0.63000,1.570
"OGLE-TR-113",0.022900,1.36000,1.093
"K2-31",0.022000,1.77400,1.060
"HATS-33",0.037270,1.19200,1.230
"Kepler-29",0.090000,0.40000,0.321
"HD 219134",0.237000,0.05088,0.144
"XO-1",0.048800,0.90000,1.300
"K2-141",0.007160,0.01671,0.137
"WASP-98",0.036000,0.83000,1.100
"WASP-63",0.057400,0.38000,1.430
"WASP-48",0.034400,0.98400,1.670
"Kepler-422",0.082000,0.43000,1.150
"Kepler-79",0.117000,0.03430,0.310
"Kepler-5",0.050640,2.11400,1.431
"CoRoT-14",0.027000,7.60000,1.090
"WASP-183",0.046320,0.50200,1.470
"HAT-P-11",0.052590,0.08400,0.397
"WASP-12",0.022900,1.41000,1.790
"WASP-1",0.038200,0.89000,1.930
"WASP-126",0.044900,0.28000,0.960
"HATS-27",0.061100,0.53000,1.500
"HATS-57",0.034930,3.14700,1.139
"OGLE-TR-113",0.022990,1.08000,1.090
"OGLE-TR-132",0.030260,1.17000,1.229
"WASP-10",0.038000,3.20000,1.100
"HAT-P-28",0.043370,0.63700,1.212
"WASP-23",0.037000,0.87900,0.962
"HAT-P-25",0.046600,0.56700,1.190
"HAT-P-1",0.055300,0.52500,1.242
"Kepler-412",0.029610,0.92700,1.325
"GJ 1214",0.014110,0.01970,0.254
"HATS-34",0.031660,0.94100,1.430
"HAT-P-54",0.041220,1.82000,0.944
"HATS-64",0.065620,0.96000,1.679
"WASP-14",0.037100,7.76000,1.221
"WASP-170",0.033700,1.60000,1.096
"Kepler-422",0.081300,0.49000,1.150
"TrES-2",0.035570,1.21200,1.224
"HD 15337",0.052200,0.02363,0.146
"HATS-54",0.037630,0.76000,1.067
"K2-229",0.075770,0.06702,0.189
"OGLE2-TR-L9",0.030800,4.50000,1.610
"HATS-18",0.017400,1.97950,1.329
"Kepler-20",0.045370,0.02700,0.170
"TOI-561",0.088800,0.02202,0.259
"WASP-5",0.027400,1.59500,1.175
"HAT-P-3",0.038660,0.59100,0.827
"WASP-77 A",0.023960,1.76000,1.210
"XO-1",0.049000,0.92000,1.210
"K2-138",0.078200,0.04081,0.302
"WASP-74",0.037050,0.94400,1.560
"HATS-25",0.051630,0.61300,1.260
"HAT-P-53",0.031590,1.48400,1.318
"WASP-25",0.047380,0.57400,1.220
"TOI-561",0.117400,0.00944,0.207
"K2-107",0.048000,0.84000,1.440
"CoRoT-21",0.041700,2.26000,1.300
"HATS-43",0.049440,0.26100,1.180
"WASP-22",0.047000,0.57000,1.158
"Kepler-56",0.165200,0.57000,0.874
"Kepler-412",0.028970,0.94100,1.341
"HAT-P-57",0.040600,1.85000,1.413
"HAT-P-54",0.041170,0.76000,0.944
"TRAPPIST-1",0.011110,0.00267,0.097
"WASP-142",0.034700,0.84000,1.530
"OGLE-TR-211",0.051050,0.75000,1.262
"HATS-51",0.046390,0.76800,1.410
"TOI-169",0.035240,0.79100,1.086
"KOI-94",0.304600,0.11000,0.585
"Kepler-10",0.016840,0.01400,0.126
"HAT-P-3",0.038990,0.60900,0.899
"Kepler-426",0.041350,0.33700,1.090
"EPIC 220674823",0.011600,0.02630,0.136
"XO-5",0.051500,1.19000,1.140
"WASP-80",0.034000,0.55000,0.950
"OGLE-TR-182",0.052050,1.06000,1.470
"K2-216",0.028000,0.02517,0.156
"EPIC 220674823",0.107100,0.01793,0.247
"Kepler-434",0.114200,2.98000,1.130
"Kepler-39",0.153900,17.90000,1.092
"HATS-9",0.030480,0.83700,1.065
"WASP-21",0.051600,0.29500,1.263
"HATS-22",0.050250,2.74000,0.953
"TrES-4",0.051600,0.49400,1.838
"TOI-824",0.021770,0.05810,0.261
"PDS 70",22.000000,8.00000,1.300
"HATS-41",0.058300,9.70000,1.330
"WASP-58",0.056200,0.89900,1.370
"WASP-8",0.080000,2.20000,1.000
"Kepler-39",0.163500,20.10000,1.240
"K2-38",0.050600,0.03776,0.138
"TIC 237913194",0.120700,1.94200,1.117
"Kepler-51",0.509000,0.02400,0.865
"WASP-25",0.047300,0.58000,1.220
"HD 209458",0.046700,0.63000,1.270
"Kepler-32",0.090000,0.50000,0.178
"EPIC 249893012",0.130000,0.04616,0.327
"HAT-P-5",0.040710,1.06000,1.254
"HATS-38",0.050360,0.07400,0.614
"CoRoT-17",0.048100,2.41000,1.020
"XO-4",0.054750,1.52100,1.290
"WASP-150",0.069400,8.46000,1.070
"HAT-P-67",0.065050,0.34000,2.085
"HATS-29",0.054750,0.65300,1.251
"WASP-3",0.031700,1.76000,1.310
"CoRoT-18",0.029500,3.46000,1.310
"WASP-16",0.042200,0.90800,1.008
"WASP-49",0.037900,0.37800,1.115
"TrES-1",0.039250,0.75200,1.067
"WASP-187",0.065300,0.80000,1.640
"TOI-942",0.047960,2.60000,0.429
"WASP-11",0.043000,0.53000,0.910
"TOI-942",0.088000,0.11641,0.428
"Kepler-38",0.463200,0.38400,0.384
"CoRoT-13",0.051000,1.31200,1.252
"WASP-124",0.044900,0.60000,1.240
"HD 106315",0.153600,0.04782,0.388
"K2-18",0.143000,0.02504,0.212
"K2-113",0.055800,1.29000,0.930
"HD 219666",0.063560,0.05223,0.420
"EPIC 248847494",4.500000,13.00000,1.110
"GJ 357",0.035000,0.00579,0.109
"HAT-P-43",0.044300,0.66200,1.281
"Kepler-9",0.140000,0.25200,0.842
"HAT-P-13",0.042700,0.85300,1.271
"CoRoT-25",0.057800,0.27000,1.080
"KELT-2 A",0.054970,1.52700,1.290
"K2-30",0.041900,0.58900,1.069
"WASP-45",0.040540,1.00700,1.160
"HD 15337",0.126800,0.02552,0.213
"Kepler-6",0.048520,0.66800,1.304
"Kepler-45",0.029870,0.48400,0.960
"TRAPPIST-1",0.028170,0.00195,0.082
"Kepler-11",0.466000,0.07900,0.297
"WASP-64",0.026520,1.22100,1.271
"WASP-2",0.030330,0.84700,1.043
"Kepler-1658",0.054400,5.88000,1.070
"HATS-66",0.047140,5.33000,1.411
"Qatar-2",0.021530,2.47000,1.254
"HAT-P-19",0.046640,0.28400,1.132
"K2-3",0.209700,0.00566,0.147
"WASP-72",0.037080,1.54610,1.270
"WASP-103",0.019850,1.49000,1.528
"HATS-16",0.037440,3.27000,1.300
"WASP-78",0.036200,0.89000,1.700
"HD 3167",0.179500,0.03083,0.269
"TOI-125",0.137000,0.04279,0.261
"CoRoT-2",0.028540,3.62000,1.470
"HD 183579",0.133400,0.06198,0.317
"WTS-1",0.047000,4.01000,1.490
"HATS-60",0.047080,0.66200,1.153
"TOI-201",0.300000,0.42000,1.008
"WASP-7",0.061800,0.96000,0.915
"K2-285",0.117800,0.02045,0.221
"HAT-P-24",0.046500,0.68500,1.242
"HAT-P-19",0.046600,0.29200,1.132
"HAT-P-6",0.052390,1.10600,1.330
"Kepler-77",0.045010,0.43000,0.960
"TOI-561",0.327400,0.05034,0.238
"WASP-67",0.051700,0.42000,1.400
"WASP-28",0.044500,0.89900,1.354
"Kepler-8",0.048500,0.59000,1.381
"Kepler-20",0.046300,0.03052,0.167
"CoRoT-1",0.027520,1.23000,1.715
"Kepler-11",0.159000,0.01900,0.306
"TOI-1266",0.105800,0.00692,0.139
"WASP-171",0.050400,1.08400,0.980
"CoRoT-16",0.061800,0.53500,1.170
"WASP-8",0.080100,2.24400,1.038
"HR 8799",24.000000,10.00000,1.200
"Kepler-20",0.093000,0.05100,0.274
"WASP-16",0.041500,0.83200,1.218
"TrES-5",0.024520,1.79000,1.209
"Kepler-40",0.080000,2.20000,1.170
"TOI-905",0.046660,0.66700,1.171
"WASP-129",0.062800,1.00000,0.930
"WASP-177",0.039570,0.50800,1.580
"PH1",0.652000,0.53100,0.551
"WASP-17",0.051000,0.49000,1.740
"Kepler-62",0.092900,0.01300,0.048
"WASP-20",0.059990,0.31100,1.462
"CoRoT-4",0.090250,0.70300,1.190
"L 98-59",0.031700,0.00761,0.120
"WASP-60",0.053100,0.51400,0.860
"HAT-P-42",0.057500,0.88000,1.280
"HAT-P-50",0.045270,1.35900,1.288
"KOI-55",0.006000,0.00140,0.068
"HD 219134",0.146300,0.02297,0.117
"Kepler-423",0.035820,0.60600,1.192
"WASP-100",0.045740,2.01000,1.690
"WASP-48",0.034490,1.03100,1.670
"HAT-P-46",0.057700,0.49300,1.284
"Kepler-12",0.055600,0.43100,1.695
"Kepler-11",0.462000,0.94400,0.327
"CoRoT-2",0.028100,3.30000,1.466
"HAT-P-34",0.067740,3.33000,1.197
"WASP-13",0.055800,0.52500,1.528
"Kepler-447",0.076900,1.37000,1.650
"HD 209458",0.047070,0.68500,1.359
"OGLE-TR-182",0.051000,1.01000,1.130
"OGLE-TR-211",0.051060,0.68000,1.262
"55 Cnc",0.015440,0.02542,0.170
"WTS-2",0.018560,1.27000,1.363
"K2-18",0.142900,0.02807,0.211
"WASP-4",0.023290,1.28900,1.371
"HAT-P-39",0.050950,0.56900,1.571
"WASP-163",0.026600,1.87000,1.202
"WASP-101",0.050600,0.50000,1.410
"LTT 3780",0.012110,0.00824,0.119
"HD 95338",0.262000,0.13353,0.347
"HAT-P-14",0.060600,2.23200,1.150
"WASP-55",0.053260,0.57100,1.300
"TrES-3",0.022840,1.80100,1.336
"K2-66",0.059830,0.06702,0.222
"HATS-48 A",0.037690,0.24300,0.800
"Wendelstein-2",0.023400,0.73100,1.159
"TOI-892",0.092000,0.95000,1.070
"OGLE-TR-10",0.041620,0.57000,1.240
"WASP-3",0.031870,2.06000,1.454
"WASP-47",0.017300,0.02863,0.162
"Kepler-435",0.094900,0.85000,1.990
"CoRoT-20",0.090100,4.23000,0.840
"HAT-P-18",0.055960,0.20000,0.995
"CoRoT-3",0.057400,21.44000,1.010
"Kepler-20",0.094900,0.04012,0.272
"KELT-8",0.045500,0.85800,1.860
"WASP-113",0.058850,0.47500,1.409
"NGTS-8",0.035000,0.93000,1.090
"Kepler-74",0.078130,0.60400,0.960
"HATS-42",0.036890,1.88000,1.400
"WASP-48",0.034440,0.98000,1.670
"HATS-45",0.055110,0.70000,1.286
"HAT-P-12",0.038380,0.20840,0.959
"HAT-P-23",0.023200,1.97000,1.368
"HATS-28",0.041310,0.67200,1.194
"OGLE-TR-10",0.043500,1.13000,1.250
"Kepler-6",0.044380,0.63300,1.169
"LTT 3780",0.076730,0.02706,0.205
"TOI-1728",0.039100,0.08426,0.451
"WASP-89",0.042800,5.80000,1.040
"HAT-P-51",0.050690,0.30900,1.293
"WASP-68",0.062190,0.95700,1.240
"HD 149026",0.042880,0.35600,0.610
"WASP-34",0.052100,0.58300,1.220
"Kepler-15",0.057050,0.63300,0.960
"HAT-P-6",0.052370,1.05900,1.330
"Kepler-41",0.030970,0.56600,1.290
"Kepler-43",0.044360,3.14000,1.160
"WASP-59",0.069700,0.85700,0.775
"KOI-55",0.007600,0.00210,0.077
"HAT-P-22",0.041400,2.14800,1.080
"HAT-P-55",0.046040,0.58000,1.182
"LTT 1445 A",0.038070,0.00692,0.123
"Qatar-1",0.023430,1.32100,1.180
"HD 1397",0.100300,0.36700,1.023
"WASP-156",0.045300,0.12800,0.510
"EPIC 220674823",0.105000,0.01825,0.223
"WASP-52",0.027130,0.45900,1.270
"HAT-P-4",0.044490,0.65100,1.274
"HAT-P-45",0.045200,0.89200,1.426
"HD 80606",0.456500,4.11600,1.003
"TrES-1",0.039460,0.76100,1.099
"K2-105",0.081000,0.09439,0.369
"WASP-17",0.051500,0.48600,1.991
"Kepler-419",0.370400,2.58000,0.960
"Kepler-68",0.090590,0.01500,0.085
"TOI-216",0.129300,0.09439,0.686
"EPIC 249893012",0.047000,0.02753,0.174
"WASP-151",0.055000,0.31000,1.130
"NGTS-10",0.014300,2.16200,1.205
"LTT 9779",0.016790,0.09225,0.421
"TOI-125",0.081400,0.02086,0.246
"K2-60",0.045000,0.42600,0.683
"HAT-P-27",0.039980,0.61600,1.020
"HATS-65",0.044970,0.82100,1.501
"HAT-P-13",0.042700,0.88300,1.281
"Kepler-77",0.045020,0.52200,0.960
"HD 89345",0.105000,0.11232,0.612
"HAT-P-56",0.042320,1.90000,1.466
"WASP-10",0.037800,3.21000,1.067
"WASP-42",0.054800,0.50100,1.063
"Kepler-8",0.047400,0.59000,1.416
"HD 106315",0.090700,0.03964,0.218
"Kepler-101",0.047400,0.16000,0.510
"Kepler-1656",0.197000,0.15291,0.448
"Kepler-17",0.026050,2.34000,1.310
"WASP-55",0.055800,0.62700,1.335
"WASP-47",0.088000,0.05286,0.331
"WASP-98",0.035710,0.84800,1.100
"Kepler-453",0.790300,0.05034,0.553
"Kepler-11",0.091000,0.01400,0.176
"Kepler-419",0.370000,2.50000,0.960
"CoRoT-5",0.049470,0.46700,1.388
"HATS-1",0.044460,1.75000,1.302
"HATS-46",0.053670,0.17300,0.903
"WASP-18",0.020300,10.20000,1.106
"HAT-P-15",0.096400,1.94600,1.072
"Kepler-7",0.061300,0.42500,1.602
"TrES-4",0.050910,0.91900,1.799
"OGLE-TR-56",0.022500,0.90000,1.300
"TrES-1",0.039260,0.69700,1.067
"Kepler-39",0.155000,18.00000,1.220
"WASP-41",0.040220,0.94100,1.200
"Kepler-26",0.085000,0.38000,0.321
"CoRoT-23",0.048090,3.06000,1.180
"WASP-37",0.044700,1.72000,1.160
"HAT-P-6",0.052440,1.06300,1.395
"Kepler-289",0.330000,0.01300,0.239
"Kepler-62",0.055300,0.03000,0.117
"HAT-P-66",0.043630,0.78300,1.590
"TrES-3",0.022720,1.93800,1.312
"K2-290",0.305000,0.77400,1.006
"HAT-P-49",0.043800,1.73000,1.413
"KOI-94",0.101300,0.04900,0.385
"Kepler-22",0.849000,0.11300,0.212
"HATS-37 A",0.049130,0.09900,0.606
"Wendelstein-1",0.028200,0.59200,1.031
"Kepler-1655",0.103000,0.01573,0.197
"CoRoT-9",0.402900,0.84600,1.066
"CoRoT-26",0.052600,0.52000,1.260
"HATS-4",0.036230,1.30900,1.020
"55 Cnc",0.015440,0.02514,0.167
